year,ref_date,variable,value,area_name,full_area_name,area_level,country_name,grouping,record_created,record_updated,source_org,source_title,source_pub_date,frequency,source_link,notes
2007,31/12/2007,dwellings,1887516,Berlin,Berlin,city-region,Germany,Central/North Europe,23/12/2020,23/12/2020,Destatis,Fortschreibung des Wohngebäude- und Wohnungsbestandes - Lange Reihen von 1969 bis 2019,29/07/2020,Annual,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Wohnen/Publikationen/Downloads-Wohnen/fortschreibung-wohnungsbestand-pdf-5312301.html,
2008,31/12/2008,dwellings,1890837,Berlin,Berlin,city-region,Germany,Central/North Europe,23/12/2020,23/12/2020,Destatis,Fortschreibung des Wohngebäude- und Wohnungsbestandes - Lange Reihen von 1969 bis 2019,29/07/2020,Annual,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Wohnen/Publikationen/Downloads-Wohnen/fortschreibung-wohnungsbestand-pdf-5312301.html,
2009,31/12/2009,dwellings,1894564,Berlin,Berlin,city-region,Germany,Central/North Europe,23/12/2020,23/12/2020,Destatis,Fortschreibung des Wohngebäude- und Wohnungsbestandes - Lange Reihen von 1969 bis 2019,29/07/2020,Annual,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Wohnen/Publikationen/Downloads-Wohnen/fortschreibung-wohnungsbestand-pdf-5312301.html,
2010,31/12/2010,dwellings,1867673,Berlin,Berlin,city-region,Germany,Central/North Europe,23/12/2020,23/12/2020,Destatis,Fortschreibung des Wohngebäude- und Wohnungsbestandes - Lange Reihen von 1969 bis 2019,29/07/2020,Annual,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Wohnen/Publikationen/Downloads-Wohnen/fortschreibung-wohnungsbestand-pdf-5312301.html,Break in data due to Census
2011,31/12/2011,dwellings,1871782,Berlin,Berlin,city-region,Germany,Central/North Europe,23/12/2020,23/12/2020,Destatis,Fortschreibung des Wohngebäude- und Wohnungsbestandes - Lange Reihen von 1969 bis 2019,29/07/2020,Annual,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Wohnen/Publikationen/Downloads-Wohnen/fortschreibung-wohnungsbestand-pdf-5312301.html,
2012,31/12/2012,dwellings,1876984,Berlin,Berlin,city-region,Germany,Central/North Europe,23/12/2020,23/12/2020,Destatis,Fortschreibung des Wohngebäude- und Wohnungsbestandes - Lange Reihen von 1969 bis 2019,29/07/2020,Annual,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Wohnen/Publikationen/Downloads-Wohnen/fortschreibung-wohnungsbestand-pdf-5312301.html,
2013,31/12/2013,dwellings,1883161,Berlin,Berlin,city-region,Germany,Central/North Europe,23/12/2020,23/12/2020,Destatis,Fortschreibung des Wohngebäude- und Wohnungsbestandes - Lange Reihen von 1969 bis 2019,29/07/2020,Annual,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Wohnen/Publikationen/Downloads-Wohnen/fortschreibung-wohnungsbestand-pdf-5312301.html,
2014,31/12/2014,dwellings,1891798,Berlin,Berlin,city-region,Germany,Central/North Europe,23/12/2020,23/12/2020,Destatis,Fortschreibung des Wohngebäude- und Wohnungsbestandes - Lange Reihen von 1969 bis 2019,29/07/2020,Annual,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Wohnen/Publikationen/Downloads-Wohnen/fortschreibung-wohnungsbestand-pdf-5312301.html,
2015,31/12/2015,dwellings,1902675,Berlin,Berlin,city-region,Germany,Central/North Europe,23/12/2020,23/12/2020,Destatis,Fortschreibung des Wohngebäude- und Wohnungsbestandes - Lange Reihen von 1969 bis 2019,29/07/2020,Annual,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Wohnen/Publikationen/Downloads-Wohnen/fortschreibung-wohnungsbestand-pdf-5312301.html,
2016,31/12/2016,dwellings,1916517,Berlin,Berlin,city-region,Germany,Central/North Europe,23/12/2020,23/12/2020,Destatis,Fortschreibung des Wohngebäude- und Wohnungsbestandes - Lange Reihen von 1969 bis 2019,29/07/2020,Annual,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Wohnen/Publikationen/Downloads-Wohnen/fortschreibung-wohnungsbestand-pdf-5312301.html,
2017,31/12/2017,dwellings,1932296,Berlin,Berlin,city-region,Germany,Central/North Europe,23/12/2020,23/12/2020,Destatis,Fortschreibung des Wohngebäude- und Wohnungsbestandes - Lange Reihen von 1969 bis 2019,29/07/2020,Annual,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Wohnen/Publikationen/Downloads-Wohnen/fortschreibung-wohnungsbestand-pdf-5312301.html,
2018,31/12/2018,dwellings,1949252,Berlin,Berlin,city-region,Germany,Central/North Europe,23/12/2020,23/12/2020,Destatis,Fortschreibung des Wohngebäude- und Wohnungsbestandes - Lange Reihen von 1969 bis 2019,29/07/2020,Annual,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Wohnen/Publikationen/Downloads-Wohnen/fortschreibung-wohnungsbestand-pdf-5312301.html,
2019,31/12/2019,dwellings,1968315,Berlin,Berlin,city-region,Germany,Central/North Europe,23/12/2020,23/12/2020,Destatis,Fortschreibung des Wohngebäude- und Wohnungsbestandes - Lange Reihen von 1969 bis 2019,29/07/2020,Annual,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Wohnen/Publikationen/Downloads-Wohnen/fortschreibung-wohnungsbestand-pdf-5312301.html,
2020,31/12/2020,dwellings,1982825,Berlin,Berlin,city-region,Germany,Central/North Europe,10/10/2021,10/10/2021,Destatis,Fortschreibung des Wohngebäude- und Wohnungsbestandes - Lange Reihen von 1969 bis 2020,22/07/2021,Annual,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Wohnen/Publikationen/Downloads-Wohnen/fortschreibung-wohnungsbestand-pdf-5312301.html,
1986,31/12/1986,dwellings,32906838,Germany,Germany,country,Germany,Central/North Europe,23/12/2020,23/12/2020,Destatis,Fortschreibung des Wohngebäude- und Wohnungsbestandes - Lange Reihen von 1969 bis 2019,29/07/2020,Annual,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Wohnen/Publikationen/Downloads-Wohnen/fortschreibung-wohnungsbestand-pdf-5312301.html,
1987,31/12/1987,dwellings,33147321,Germany,Germany,country,Germany,Central/North Europe,23/12/2020,23/12/2020,Destatis,Fortschreibung des Wohngebäude- und Wohnungsbestandes - Lange Reihen von 1969 bis 2019,29/07/2020,Annual,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Wohnen/Publikationen/Downloads-Wohnen/fortschreibung-wohnungsbestand-pdf-5312301.html,
1988,31/12/1988,dwellings,33377087,Germany,Germany,country,Germany,Central/North Europe,23/12/2020,23/12/2020,Destatis,Fortschreibung des Wohngebäude- und Wohnungsbestandes - Lange Reihen von 1969 bis 2019,29/07/2020,Annual,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Wohnen/Publikationen/Downloads-Wohnen/fortschreibung-wohnungsbestand-pdf-5312301.html,
1989,31/12/1989,dwellings,33600808,Germany,Germany,country,Germany,Central/North Europe,23/12/2020,23/12/2020,Destatis,Fortschreibung des Wohngebäude- und Wohnungsbestandes - Lange Reihen von 1969 bis 2019,29/07/2020,Annual,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Wohnen/Publikationen/Downloads-Wohnen/fortschreibung-wohnungsbestand-pdf-5312301.html,
